,score,labe
0,1380.176025390625,0
1,1376.609619140625,0
2,1465.2406005859375,0
3,1425.1417236328125,0
4,1888.58056640625,0
5,1461.265869140625,0
6,1477.022705078125,0
7,1425.4930419921875,0
8,1480.1080322265625,0
9,1510.415283203125,0
10,1591.603759765625,0
11,1562.6368408203125,0
12,1438.6270751953125,0
13,1431.2001953125,0
14,1462.6351318359375,0
15,1428.38037109375,0
16,1461.58251953125,0
17,1699.921630859375,0
18,1415.00439453125,0
19,1385.3223876953125,0
20,1501.551513671875,0
21,1402.70849609375,0
22,1402.29150390625,0
23,1503.810791015625,0
24,1413.947265625,0
25,1519.818359375,0
26,1485.5184326171875,0
27,1636.4117431640625,0
28,1438.831787109375,0
29,1477.300537109375,0
30,1811.455078125,0
31,1491.9788818359375,0
32,1460.4942626953125,0
33,1466.9781494140625,0
34,1444.4691162109375,0
35,1407.6112060546875,0
36,1371.784423828125,0
37,1403.2872314453125,0
38,1474.3642578125,0
39,1500.324951171875,0
40,1437.35595703125,0
41,1507.917236328125,0
42,1365.7269287109375,0
43,1363.168212890625,0
44,1516.948974609375,0
45,1461.840576171875,0
46,1460.921875,0
47,1994.5224609375,0
48,1429.573486328125,0
49,1424.9053955078125,0
50,1428.79443359375,0
51,1426.03466796875,0
52,1435.5582275390625,0
53,1466.1640625,0
54,1385.51513671875,0
55,1468.0081787109375,0
56,1418.7490234375,0
57,1416.54443359375,0
58,1396.8643798828125,0
59,1472.4107666015625,0
60,1473.5286865234375,0
61,1441.085693359375,0
62,1441.730712890625,0
63,1486.7401123046875,0
64,1514.44287109375,0
65,1481.01171875,0
66,1505.5296630859375,0
67,1349.2176513671875,0
68,1409.8343505859375,0
69,1477.4715576171875,0
70,1453.7425537109375,0
71,1378.33349609375,0
72,1508.19091796875,0
73,1540.1087646484375,0
74,1488.84521484375,0
75,1583.7393798828125,0
76,1965.7608642578125,0
77,1481.1322021484375,0
78,1535.005615234375,0
79,1433.48779296875,0
80,1543.7353515625,0
81,1464.3984375,0
82,1459.886474609375,0
83,1497.30419921875,0
84,1489.3968505859375,0
85,1451.721923828125,0
86,1461.722412109375,0
87,1388.7652587890625,0
88,1422.039794921875,0
89,1486.67724609375,0
90,1427.000732421875,0
91,1469.872802734375,0
92,1367.1243896484375,0
93,1388.3646240234375,0
94,1835.3916015625,0
95,1402.56201171875,0
96,1371.2218017578125,0
97,1928.195068359375,0
98,1496.1209716796875,0
99,1368.974365234375,0
100,1388.7071533203125,0
101,1877.10498046875,0
102,1629.5142822265625,0
103,1371.29296875,0
104,1436.2535400390625,0
105,1552.5714111328125,0
106,1475.866455078125,0
107,1397.9990234375,0
108,1513.4854736328125,0
109,1852.31591796875,0
110,1353.7633056640625,0
111,1408.152099609375,0
112,1405.0859375,0
113,1451.9036865234375,0
114,1462.3477783203125,0
115,1797.40380859375,0
116,1855.72607421875,0
117,1397.07666015625,0
118,1366.20849609375,0
119,1450.9208984375,0
120,1410.084228515625,0
121,1387.3370361328125,0
122,1468.498779296875,0
123,1726.5283203125,0
124,1376.5098876953125,0
125,1444.8514404296875,0
126,1524.246337890625,0
127,1366.2325439453125,0
128,1427.1650390625,0
129,1441.71728515625,0
130,1358.11474609375,0
131,1458.123779296875,0
132,1447.93701171875,0
133,1493.20703125,0
134,1431.3477783203125,0
135,1448.1558837890625,0
136,1435.05615234375,0
137,1760.6064453125,0
138,1471.011474609375,0
139,1412.3896484375,0
140,1406.1390380859375,0
141,1539.1455078125,0
142,1458.424072265625,0
143,1485.58203125,0
144,1471.550537109375,0
145,1818.9771728515625,0
146,1445.6297607421875,0
147,1440.4727783203125,0
148,1355.7698974609375,0
149,1414.1881103515625,0
150,1463.219482421875,0
151,2094.428955078125,0
152,1422.382568359375,0
153,1373.9659423828125,0
154,1453.93310546875,0
155,1398.793212890625,0
156,1444.587158203125,0
157,1358.05126953125,0
158,1501.3232421875,0
159,1373.615234375,0
160,1402.90966796875,0
161,1565.5980224609375,0
162,1413.5501708984375,0
163,1879.451416015625,0
164,1461.3946533203125,0
165,1400.715576171875,0
166,1426.163330078125,0
167,1389.34619140625,0
168,1388.902587890625,0
169,1502.6514892578125,0
170,1519.5904541015625,0
171,1402.95703125,0
